                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98558,                0.99945,                 1.1969,                0.97002,                  0.663,                0.71698,                0.56622,                0.71496,                0.57888,                0.96674,             0.00066516,             0.00066516,             0.00066516
                      2,                  1.007,                0.84869,                 1.2039,                0.92242,                0.69262,                0.72049,                 0.5586,                 0.7348,                0.55853,                0.98605,              0.0012659,              0.0012659,              0.0012659
                      3,                0.98366,                0.81322,                 1.1921,                0.89904,                0.69338,                0.71673,                  0.573,                0.73758,                0.55687,                0.98976,              0.0018006,              0.0018006,              0.0018006
                      4,                0.95125,                  0.771,                 1.1719,                0.85538,                0.68443,                0.71385,                0.55904,                0.73563,                0.58114,                0.98234,               0.001703,               0.001703,               0.001703
                      5,                0.90957,                0.72387,                 1.1498,                0.92073,                0.69262,                0.75813,                0.58759,                0.74303,                0.45177,                0.98029,               0.001604,               0.001604,               0.001604
                      6,                0.85383,                0.67148,                 1.1189,                0.97017,                0.70492,                0.76213,                0.61248,                0.65838,                0.43292,                0.94284,               0.001505,               0.001505,               0.001505
                      7,                0.83814,                0.64667,                 1.1058,                0.96661,                0.70082,                0.76659,                0.62865,                0.64953,                0.37564,                0.94942,               0.001406,               0.001406,               0.001406
                      8,                0.81852,                0.61636,                 1.0953,                0.94881,                0.69672,                0.76897,                 0.5595,                0.86628,                0.42882,                 1.0701,               0.001307,               0.001307,               0.001307
                      9,                0.80745,                0.60752,                  1.088,                0.92772,                0.68381,                0.75483,                0.58569,                0.77138,                0.42574,                0.98905,               0.001208,               0.001208,               0.001208
                     10,                0.77957,                 0.5874,                  1.075,                0.95003,                0.71721,                0.78257,                0.63319,                 0.6563,                0.35315,                0.94326,               0.001109,               0.001109,               0.001109
                     11,                0.76697,                0.54096,                 1.0625,                 0.9545,                0.71311,                0.77018,                0.61301,                0.69547,                0.37233,                0.96037,                0.00101,                0.00101,                0.00101
                     12,                0.74255,                0.51119,                 1.0426,                0.93575,                0.71631,                0.78227,                0.64693,                0.62716,                0.34105,                0.93203,               0.000911,               0.000911,               0.000911
                     13,                0.73276,                0.50047,                 1.0382,                0.94159,                0.72951,                 0.7774,                0.65265,                0.56276,                0.31139,                0.90139,               0.000812,               0.000812,               0.000812
                     14,                0.70192,                0.47227,                 1.0165,                0.96032,                0.72131,                0.78133,                0.64794,                0.59961,                0.30352,                0.91021,               0.000713,               0.000713,               0.000713
                     15,                0.69727,                0.46785,                 1.0232,                0.93895,                 0.7418,                0.80654,                0.63922,                0.72548,                0.34386,                0.97554,               0.000614,               0.000614,               0.000614
                     16,                0.66846,                  0.443,                  1.002,                0.95038,                0.72951,                0.78825,                0.65526,                0.62426,                0.29202,                0.92009,               0.000515,               0.000515,               0.000515
                     17,                  0.648,                0.42377,                0.98998,                0.93275,                 0.7418,                0.79647,                0.66346,                0.60114,                0.28635,                0.91245,               0.000416,               0.000416,               0.000416
                     18,                0.62476,                0.40906,                0.97949,                0.92234,                0.76639,                 0.8283,                0.68083,                  0.609,                0.27643,                0.91502,               0.000317,               0.000317,               0.000317
                     19,                0.60545,                0.39611,                0.96891,                 0.9425,                0.73893,                0.81135,                0.66768,                0.62119,                0.27042,                0.91776,               0.000218,               0.000218,               0.000218
                     20,                0.58999,                0.38311,                0.96171,                0.98535,                0.72541,                0.82625,                0.68983,                0.58516,                0.24937,                 0.8968,               0.000119,               0.000119,               0.000119
